Player,Table Points,Player_Score,Rank,Simulation
Mike,61,1440.0,3,755
Andy,57,1606.0,4,755
Matt,56,1628.0,5,755
Sam,52,1435.0,6,755
Mikey,49,1481.0,7,755
Karl,47,1487.0,8,755
John,46,1334.0,9,755
Dove,38,1454.0,10,755
Tim,61,1585.0,1,756
Andy,60,1565.0,2,756
Nick,60,1439.0,3,756
Matt,53,1561.0,4,756
Mikey,53,1449.0,5,756
Mike,53,1448.0,6,756
Dove,51,1530.0,7,756
Sam,51,1473.0,8,756
John,46,1326.0,9,756
Karl,44,1494.0,10,756
Sam,67,1508.0,1,757
Tim,65,1605.0,2,757
Matt,59,1678.0,3,757
Nick,58,1535.0,4,757
Mike,55,1484.0,5,757
Karl,51,1571.0,6,757
John,50,1368.0,7,757
Mikey,49,1423.0,8,757
Andy,48,1566.0,9,757
Dove,30,1384.0,10,757
Matt,65,1585.0,1,758
Andy,60,1635.0,2,758
Tim,59,1622.0,3,758
Sam,57,1463.0,4,758
Mike,55,1438.0,5,758
Mikey,50,1418.0,6,758
Dove,48,1532.0,7,758
Nick,48,1469.0,8,758
John,47,1348.0,9,758
Karl,44,1477.0,10,758
Andy,67,1685.0,1,759
Nick,59,1481.0,2,759
Sam,57,1478.0,3,759
Dove,56,1562.0,4,759
Mike,56,1388.0,5,759
Tim,52,1568.0,6,759
Mikey,50,1489.0,7,759
John,48,1304.0,8,759
Karl,47,1538.0,9,759
Matt,39,1527.0,10,759
Tim,70,1554.0,1,760
Matt,69,1606.0,2,760
Sam,64,1440.0,3,760
Mikey,60,1499.0,4,760
Nick,51,1443.0,5,760
Mike,50,1478.0,6,760
Andy,49,1509.0,7,760
Karl,45,1481.0,8,760
Dove,38,1483.0,9,760
John,35,1230.0,10,760
Andy,63,1630.0,1,761
Matt,63,1604.0,2,761
Tim,59,1503.0,3,761
Nick,58,1485.0,4,761
Mike,58,1455.0,5,761
Sam,54,1459.0,6,761
Dove,51,1540.0,7,761
Karl,45,1526.0,8,761
John,41,1286.0,9,761
Mikey,40,1410.0,10,761
Matt,66,1656.0,1,762
Andy,63,1667.0,2,762
Sam,60,1437.0,3,762
Nick,58,1454.0,4,762
Karl,53,1563.0,5,762
Tim,52,1531.0,6,762
Mikey,52,1452.0,7,762
John,49,1317.0,8,762
Dove,41,1528.0,9,762
Mike,40,1407.0,10,762
Mike,73,1537.0,1,763
Tim,65,1663.0,2,763
Sam,60,1503.0,3,763
Nick,58,1475.0,4,763
Mikey,55,1484.0,5,763
John,53,1438.0,6,763
Dove,50,1516.0,7,763
Andy,46,1491.0,8,763
Matt,43,1543.0,9,763
Karl,29,1440.0,10,763
Sam,69,1520.0,1,764
Andy,66,1613.0,2,764
Matt,59,1609.0,3,764
Tim,58,1448.0,4,764
Mike,53,1423.0,5,764
Mikey,53,1404.0,6,764
Nick,49,1399.0,7,764
John,43,1270.0,8,764
Karl,42,1404.0,9,764
Dove,39,1454.0,10,764
Sam,61,1452.0,1,765
Matt,60,1602.0,2,765
Tim,60,1514.0,3,765
Andy,57,1537.0,4,765
Nick,55,1490.0,5,765
Mikey,55,1480.0,6,765
Dove,54,1546.0,7,765
Mike,46,1476.0,8,765
Karl,44,1474.0,9,765
John,40,1236.0,10,765
Tim,67,1687.0,1,766
Sam,59,1482.0,2,766
Nick,55,1491.0,3,766
Andy,54,1548.0,4,766
Mikey,54,1483.0,5,766
Matt,53,1528.0,6,766
Mike,52,1461.0,7,766
Karl,47,1506.0,8,766
John,46,1283.0,9,766
Dove,45,1510.0,10,766
Andy,66,1602.0,1,767
Tim,64,1553.0,2,767
Nick,61,1503.0,3,767
Mike,59,1490.0,4,767
Sam,58,1478.0,5,767
Matt,56,1482.0,6,767
Mikey,53,1493.0,7,767
John,50,1273.0,8,767
Dove,41,1455.0,9,767
Karl,24,1365.0,10,767
Matt,67,1667.0,1,768
Sam,64,1516.0,2,768
Andy,61,1519.0,3,768
Tim,57,1534.0,4,768
Nick,54,1435.0,5,768
John,52,1304.0,6,768
Mike,49,1446.0,7,768
Dove,47,1518.0,8,768
Mikey,46,1390.0,9,768
Karl,35,1462.0,10,768
Andy,69,1652.0,1,769
Matt,57,1554.0,2,769
Tim,55,1464.0,3,769
Karl,54,1467.0,4,769
Nick,54,1441.0,5,769
Sam,52,1463.0,6,769
Dove,50,1536.0,7,769
Mikey,50,1410.0,8,769
Mike,48,1408.0,9,769
John,43,1355.0,10,769
Sam,69,1456.0,1,770
Andy,64,1500.0,2,770
Nick,60,1497.0,3,770
Matt,56,1549.0,4,770
Mikey,56,1418.0,5,770
Tim,55,1629.0,6,770
Mike,53,1410.0,7,770
John,46,1315.0,8,770
Dove,38,1558.0,9,770
Karl,36,1486.0,10,770
Sam,70,1497.0,1,771
Mike,61,1504.0,2,771
Matt,59,1511.0,3,771
Nick,55,1428.0,4,771
Tim,53,1459.0,5,771
Andy,50,1538.0,6,771
Dove,49,1528.0,7,771
John,49,1284.0,8,771
Karl,44,1488.0,9,771
Mikey,41,1377.0,10,771
Tim,74,1652.0,1,772
Sam,58,1423.0,2,772
Matt,57,1628.0,3,772
Dove,57,1504.0,4,772
Nick,57,1453.0,5,772
Andy,55,1580.0,6,772
Mike,46,1398.0,7,772
John,46,1381.0,8,772
Mikey,43,1447.0,9,772
Karl,39,1450.0,10,772
Tim,64,1578.0,1,773
Mike,64,1550.0,2,773
Matt,62,1608.0,3,773
Andy,55,1513.0,4,773
Sam,55,1454.0,5,773
Nick,54,1495.0,6,773
Mikey,49,1430.0,7,773
Dove,47,1458.0,8,773
John,43,1305.0,9,773
Karl,41,1460.0,10,773
Nick,69,1556.0,1,774
Tim,62,1585.0,2,774
Matt,59,1556.0,3,774
Mike,58,1433.0,4,774
Sam,57,1489.0,5,774
Andy,49,1545.0,6,774
Mikey,47,1404.0,7,774
John,46,1307.0,8,774
Karl,44,1527.0,9,774
Dove,42,1426.0,10,774
Mikey,67,1515.0,1,775
Nick,63,1575.0,2,775
Andy,61,1617.0,3,775
Mike,59,1428.0,4,775
Tim,58,1522.0,5,775
Matt,54,1572.0,6,775
Sam,51,1338.0,7,775
Dove,44,1534.0,8,775
John,44,1308.0,9,775
Karl,30,1431.0,10,775
Sam,66,1543.0,1,776
Tim,63,1592.0,2,776
Mikey,62,1521.0,3,776
Mike,55,1455.0,4,776
Matt,51,1550.0,5,776
Andy,49,1549.0,6,776
Dove,48,1516.0,7,776
Nick,47,1496.0,8,776
John,46,1319.0,9,776
Karl,42,1507.0,10,776
Andy,67,1670.0,1,777
Tim,61,1562.0,2,777
Nick,60,1502.0,3,777
Matt,59,1551.0,4,777
Sam,58,1537.0,5,777
John,58,1414.0,6,777
Mikey,52,1427.0,7,777
Mike,52,1423.0,8,777
Dove,38,1504.0,9,777
Karl,27,1442.0,10,777
Sam,69,1548.0,1,778
Matt,65,1624.0,2,778
Mikey,61,1521.0,3,778
Andy,60,1534.0,4,778
Mike,58,1482.0,5,778
Tim,52,1547.0,6,778
Nick,51,1456.0,7,778
Dove,47,1464.0,8,778
John,43,1357.0,9,778
Karl,29,1486.0,10,778
Tim,70,1647.0,1,779
Matt,59,1527.0,2,779
Mikey,58,1472.0,3,779
Andy,57,1565.0,4,779
Karl,57,1522.0,5,779
Nick,57,1487.0,6,779
Mike,52,1385.0,7,779
Sam,46,1369.0,8,779
Dove,42,1493.0,9,779
John,35,1362.0,10,779
Andy,63,1640.0,1,780
Nick,61,1532.0,2,780
Mike,61,1505.0,3,780
Matt,59,1630.0,4,780
Tim,58,1539.0,5,780
Mikey,58,1468.0,6,780
Karl,51,1492.0,7,780
John,46,1337.0,8,780
Sam,45,1438.0,9,780
Dove,32,1443.0,10,780
Sam,69,1470.0,1,781
Mikey,58,1441.0,2,781
Nick,57,1463.0,3,781
Tim,56,1508.0,4,781
Andy,54,1579.0,5,781
Matt,52,1526.0,6,781
Mike,50,1444.0,7,781
Dove,48,1507.0,8,781
John,47,1331.0,9,781
Karl,41,1483.0,10,781
Tim,67,1627.0,1,782
Andy,67,1564.0,2,782
Mike,58,1454.0,3,782
Matt,56,1547.0,4,782
Mikey,52,1499.0,5,782
Nick,52,1488.0,6,782
Dove,50,1635.0,7,782
Sam,48,1438.0,8,782
John,46,1329.0,9,782
Karl,38,1465.0,10,782
Andy,69,1533.0,1,783
Sam,66,1415.0,2,783
Mike,60,1537.0,3,783
Tim,55,1499.0,4,783
Nick,54,1547.0,5,783
Matt,53,1507.0,6,783
Mikey,51,1450.0,7,783
Karl,45,1456.0,8,783
John,43,1328.0,9,783
Dove,36,1467.0,10,783
Tim,70,1628.0,1,784
Matt,61,1606.0,2,784
Andy,60,1625.0,3,784
Nick,60,1454.0,4,784
Mike,57,1493.0,5,784
Sam,51,1402.0,6,784
Dove,49,1524.0,7,784
Karl,44,1414.0,8,784
Mikey,42,1431.0,9,784
John,37,1316.0,10,784
Matt,68,1608.0,1,785
Tim,62,1544.0,2,785
Mike,60,1447.0,3,785
Andy,57,1531.0,4,785
Nick,57,1530.0,5,785
Sam,57,1430.0,6,785
Mikey,50,1402.0,7,785
Dove,43,1419.0,8,785
Karl,39,1457.0,9,785
John,38,1241.0,10,785
Matt,71,1612.0,1,786
Nick,63,1467.0,2,786
Mike,58,1462.0,3,786
Andy,57,1520.0,4,786
Mikey,53,1423.0,5,786
Sam,52,1439.0,6,786
Dove,50,1466.0,7,786
Tim,49,1422.0,8,786
John,46,1306.0,9,786
Karl,35,1454.0,10,786
Matt,68,1603.0,1,787
Sam,60,1499.0,2,787
Tim,58,1563.0,3,787
John,58,1383.0,4,787
Dove,56,1530.0,5,787
Karl,51,1528.0,6,787
Andy,49,1530.0,7,787
Mike,46,1418.0,8,787
Nick,45,1396.0,9,787
Mikey,43,1439.0,10,787
Matt,65,1648.0,1,788
Andy,63,1549.0,2,788
Mike,59,1510.0,3,788
Tim,58,1569.0,4,788
Sam,57,1447.0,5,788
Mikey,55,1442.0,6,788
Nick,54,1511.0,7,788
John,50,1315.0,8,788
Dove,41,1450.0,9,788
Karl,32,1377.0,10,788
Sam,64,1473.0,1,789
Matt,62,1598.0,2,789
Mike,62,1489.0,3,789
Andy,60,1618.0,4,789
Nick,57,1551.0,5,789
Mikey,49,1465.0,6,789
Tim,48,1545.0,7,789
John,47,1353.0,8,789
Dove,43,1531.0,9,789
Karl,39,1464.0,10,789
Tim,64,1547.0,1,790
Matt,59,1532.0,2,790
Andy,55,1537.0,3,790
Nick,54,1556.0,4,790
Dove,53,1485.0,5,790
Karl,52,1564.0,6,790
John,52,1344.0,7,790
Sam,51,1407.0,8,790
Mikey,50,1397.0,9,790
Mike,42,1440.0,10,790
Andy,72,1714.0,1,791
Sam,60,1435.0,2,791
Tim,59,1646.0,3,791
Mikey,58,1508.0,4,791
John,56,1303.0,5,791
Nick,52,1472.0,6,791
Matt,51,1501.0,7,791
Karl,50,1489.0,8,791
Mike,43,1355.0,9,791
Dove,32,1499.0,10,791
Matt,68,1627.0,1,792
Andy,63,1589.0,2,792
Tim,58,1559.0,3,792
Nick,57,1489.0,4,792
Sam,51,1411.0,5,792
Karl,50,1525.0,6,792
Dove,50,1474.0,7,792
Mikey,49,1431.0,8,792
Mike,46,1333.0,9,792
John,43,1281.0,10,792
Tim,79,1693.0,1,793
Sam,65,1423.0,2,793
Matt,60,1644.0,3,793
Andy,55,1569.0,4,793
John,52,1390.0,5,793
Nick,48,1500.0,6,793
Mike,46,1438.0,7,793
Dove,45,1396.0,8,793
Karl,42,1447.0,9,793
Mikey,40,1337.0,10,793
Tim,71,1580.0,1,794
Sam,63,1513.0,2,794
Nick,57,1537.0,3,794
Matt,57,1527.0,4,794
Andy,54,1598.0,5,794
Mikey,49,1357.0,6,794
Karl,48,1472.0,7,794
Mike,46,1432.0,8,794
John,46,1361.0,9,794
Dove,41,1528.0,10,794
Sam,69,1527.0,1,795
Andy,64,1593.0,2,795
John,58,1365.0,3,795
Mike,53,1412.0,4,795
Nick,51,1482.0,5,795
Tim,50,1524.0,6,795
Matt,50,1503.0,7,795
Dove,49,1552.0,8,795
Mikey,47,1487.0,9,795
Karl,41,1444.0,10,795
Tim,61,1553.0,1,796
Sam,60,1465.0,2,796
Nick,60,1432.0,3,796
Mike,58,1503.0,4,796
Matt,56,1516.0,5,796
Mikey,52,1466.0,6,796
Andy,51,1496.0,7,796
Dove,47,1516.0,8,796
John,46,1268.0,9,796
Karl,44,1441.0,10,796
Nick,66,1511.0,1,797
Tim,62,1590.0,2,797
Matt,56,1557.0,3,797
Sam,56,1501.0,4,797
Mike,56,1483.0,5,797
John,55,1393.0,6,797
Karl,51,1575.0,7,797
Dove,45,1453.0,8,797
Mikey,43,1359.0,9,797
Andy,41,1554.0,10,797
Matt,68,1616.0,1,798
Andy,66,1606.0,2,798
Nick,66,1497.0,3,798
Tim,58,1520.0,4,798
Sam,57,1488.0,5,798
Mike,55,1492.0,6,798
Dove,53,1555.0,7,798
Mikey,40,1293.0,8,798
John,37,1262.0,9,798
Karl,35,1481.0,10,798
Tim,73,1583.0,1,799
Matt,63,1565.0,2,799
Andy,60,1731.0,3,799
Sam,57,1416.0,4,799
Mike,55,1498.0,5,799
Nick,51,1461.0,6,799
Mikey,50,1395.0,7,799
John,48,1334.0,8,799
Dove,39,1454.0,9,799
Karl,36,1490.0,10,799
Tim,67,1575.0,1,800
Andy,58,1592.0,2,800
Nick,58,1488.0,3,800
Matt,56,1578.0,4,800
Mike,55,1411.0,5,800
Sam,52,1491.0,6,800
Mikey,52,1422.0,7,800
John,49,1424.0,8,800
Karl,48,1549.0,9,800
Dove,38,1493.0,10,800
Matt,68,1614.0,1,801
Nick,61,1500.0,2,801
Andy,55,1581.0,3,801
Mike,55,1464.0,4,801
Sam,55,1444.0,5,801
Tim,52,1577.0,6,801
Mikey,52,1455.0,7,801
John,52,1407.0,8,801
Dove,43,1450.0,9,801
Karl,39,1480.0,10,801
Nick,61,1432.0,1,802
Andy,60,1639.0,2,802
Matt,60,1571.0,3,802
Sam,60,1505.0,4,802
Tim,58,1652.0,5,802
Dove,53,1522.0,6,802
Mikey,52,1432.0,7,802
John,50,1379.0,8,802
Mike,48,1430.0,9,802
Karl,30,1461.0,10,802
Matt,62,1554.0,1,803
John,61,1441.0,2,803
Tim,59,1564.0,3,803
Nick,57,1496.0,4,803
Dove,56,1492.0,5,803
Andy,55,1638.0,6,803
Sam,51,1491.0,7,803
Mike,50,1451.0,8,803
Karl,45,1548.0,9,803
Mikey,37,1367.0,10,803
Matt,74,1600.0,1,804
Andy,65,1636.0,2,804
Mike,64,1533.0,3,804
Karl,54,1553.0,4,804
Nick,52,1475.0,5,804
Tim,49,1560.0,6,804
John,49,1266.0,7,804
Sam,46,1456.0,8,804
Mikey,46,1419.0,9,804
Dove,33,1443.0,10,804
Andy,63,1563.0,1,805
Nick,60,1540.0,2,805
Matt,59,1563.0,3,805
Dove,56,1549.0,4,805
Sam,54,1425.0,5,805
Tim,53,1532.0,6,805
Mike,52,1405.0,7,805
Mikey,50,1435.0,8,805
John,46,1305.0,9,805
Karl,41,1436.0,10,805
Nick,69,1543.0,1,806
Andy,66,1604.0,2,806
Tim,58,1574.0,3,806
Mike,58,1425.0,4,806
Matt,56,1618.0,5,806
Dove,53,1524.0,6,806
Mikey,49,1475.0,7,806
Sam,48,1486.0,8,806
John,43,1337.0,9,806
Karl,35,1535.0,10,806
Sam,62,1443.0,1,807
Tim,61,1567.0,2,807
Mike,59,1384.0,3,807
Matt,56,1556.0,4,807
Andy,54,1520.0,5,807
Dove,53,1531.0,6,807
Nick,51,1442.0,7,807
John,50,1336.0,8,807
Karl,44,1442.0,9,807
Mikey,43,1339.0,10,807
Matt,74,1572.0,1,808
Andy,63,1568.0,2,808
Tim,58,1592.0,3,808
Nick,57,1507.0,4,808
Dove,53,1526.0,5,808
Mikey,52,1435.0,6,808
Sam,51,1460.0,7,808
Mike,46,1393.0,8,808
John,46,1337.0,9,808
Karl,35,1408.0,10,808
Matt,62,1590.0,1,809
Mike,59,1463.0,2,809
Andy,57,1553.0,3,809
Tim,55,1566.0,4,809
Karl,54,1491.0,5,809
Dove,50,1522.0,6,809
Mikey,50,1429.0,7,809
Sam,49,1393.0,8,809
Nick,49,1387.0,9,809
John,47,1326.0,10,809
Nick,66,1531.0,1,810
Tim,64,1573.0,2,810
Andy,61,1542.0,3,810
Sam,57,1444.0,4,810
Mikey,53,1411.0,5,810
Mike,53,1410.0,6,810
Matt,48,1505.0,7,810
Dove,47,1455.0,8,810
Karl,42,1529.0,9,810
John,41,1324.0,10,810
Tim,71,1602.0,1,811
Sam,66,1511.0,2,811
Nick,66,1494.0,3,811
Matt,63,1555.0,4,811
Mike,52,1430.0,5,811
Andy,49,1501.0,6,811
Mikey,47,1422.0,7,811
John,43,1337.0,8,811
Karl,41,1464.0,9,811
Dove,34,1406.0,10,811
Tim,70,1601.0,1,812
Mike,67,1517.0,2,812
Sam,66,1547.0,3,812
Matt,62,1569.0,4,812
Andy,58,1524.0,5,812
John,52,1264.0,6,812
Mikey,50,1420.0,7,812
Nick,48,1456.0,8,812
Dove,32,1462.0,9,812
Karl,29,1409.0,10,812
Mikey,64,1498.0,1,813
Sam,60,1444.0,2,813
Matt,59,1592.0,3,813
Mike,58,1430.0,4,813
Karl,56,1561.0,5,813
Tim,52,1481.0,6,813
Andy,51,1514.0,7,813
Nick,51,1456.0,8,813
Dove,44,1357.0,9,813
John,40,1225.0,10,813
Matt,66,1614.0,1,814
Sam,64,1497.0,2,814
Nick,60,1529.0,3,814
Tim,55,1582.0,4,814
Andy,54,1640.0,5,814
Mikey,53,1480.0,6,814
Dove,51,1570.0,7,814
John,47,1258.0,8,814
Mike,44,1351.0,9,814
Karl,38,1476.0,10,814
Tim,67,1598.0,1,815
Andy,66,1680.0,2,815
Matt,66,1669.0,3,815
Sam,61,1515.0,4,815
Nick,51,1447.0,5,815
John,49,1343.0,6,815
Mikey,45,1511.0,7,815
Mike,44,1435.0,8,815
Dove,42,1461.0,9,815
Karl,41,1513.0,10,815
Matt,74,1623.0,1,816
Mike,65,1518.0,2,816
Nick,63,1487.0,3,816
Tim,59,1559.0,4,816
Mikey,52,1556.0,5,816
Andy,52,1547.0,6,816
Sam,48,1390.0,7,816
Dove,42,1447.0,8,816
John,40,1251.0,9,816
Karl,38,1541.0,10,816
Andy,67,1542.0,1,817
Matt,62,1553.0,2,817
Tim,58,1554.0,3,817
Mike,58,1413.0,4,817
Nick,52,1382.0,5,817
Sam,51,1412.0,6,817
Dove,50,1454.0,7,817
Mikey,49,1413.0,8,817
Karl,47,1469.0,9,817
John,40,1311.0,10,817
Andy,66,1641.0,1,818
Nick,64,1567.0,2,818
Mikey,61,1441.0,3,818
Mike,58,1421.0,4,818
Karl,53,1524.0,5,818
John,52,1371.0,6,818
Matt,50,1493.0,7,818
Sam,48,1434.0,8,818
Tim,46,1567.0,9,818
Dove,36,1420.0,10,818
Dove,61,1553.0,1,819
Mike,58,1522.0,2,819
Matt,57,1618.0,3,819
Tim,56,1466.0,4,819
Mikey,55,1395.0,5,819
Nick,51,1442.0,6,819
Sam,51,1381.0,7,819
John,50,1328.0,8,819
Andy,49,1480.0,9,819
Karl,44,1458.0,10,819
Sam,69,1421.0,1,820
Matt,67,1647.0,2,820
Mikey,67,1434.0,3,820
Andy,57,1559.0,4,820
Nick,52,1491.0,5,820
John,50,1367.0,6,820
Mike,47,1420.0,7,820
Karl,44,1448.0,8,820
Tim,41,1475.0,9,820
Dove,37,1405.0,10,820
Tim,64,1602.0,1,821
Andy,59,1670.0,2,821
Nick,58,1573.0,3,821
Matt,57,1655.0,4,821
Sam,55,1474.0,5,821
Mike,55,1468.0,6,821
Karl,50,1515.0,7,821
Dove,49,1585.0,8,821
John,46,1240.0,9,821
Mikey,38,1409.0,10,821
Andy,72,1614.0,1,822
Mikey,64,1452.0,2,822
Tim,59,1584.0,3,822
Sam,54,1502.0,4,822
Matt,53,1587.0,5,822
Mike,52,1397.0,6,822
Nick,48,1459.0,7,822
John,47,1381.0,8,822
Karl,42,1498.0,9,822
Dove,42,1433.0,10,822
Andy,66,1618.0,1,823
Sam,64,1505.0,2,823
Tim,58,1563.0,3,823
Dove,55,1545.0,4,823
Matt,51,1643.0,5,823
Mikey,51,1429.0,6,823
Mike,49,1468.0,7,823
Nick,46,1431.0,8,823
John,46,1261.0,9,823
Karl,45,1492.0,10,823
Matt,69,1641.0,1,824
Andy,66,1594.0,2,824
Sam,63,1448.0,3,824
Mike,58,1454.0,4,824
Nick,55,1495.0,5,824
Tim,54,1551.0,6,824
Mikey,49,1390.0,7,824
Dove,47,1472.0,8,824
John,46,1289.0,9,824
Karl,26,1399.0,10,824
Sam,66,1530.0,1,825
Nick,60,1470.0,2,825
Matt,59,1612.0,3,825
Mike,55,1511.0,4,825
Andy,52,1452.0,5,825
Tim,51,1551.0,6,825
John,49,1299.0,7,825
Dove,48,1456.0,8,825
Karl,47,1510.0,9,825
Mikey,45,1413.0,10,825
Sam,67,1500.0,1,826
Mike,64,1519.0,2,826
Dove,63,1639.0,3,826
Nick,63,1417.0,4,826
Mikey,56,1517.0,5,826
Matt,55,1665.0,6,826
Tim,55,1567.0,7,826
Andy,54,1586.0,8,826
John,34,1185.0,9,826
Karl,21,1364.0,10,826
Mike,64,1453.0,1,827
Matt,63,1642.0,2,827
Mikey,61,1431.0,3,827
Sam,60,1475.0,4,827
Andy,58,1580.0,5,827
Tim,55,1555.0,6,827
Nick,54,1404.0,7,827
John,43,1273.0,8,827
Karl,38,1474.0,9,827
Dove,38,1396.0,10,827
Mikey,65,1480.0,1,828
Andy,57,1579.0,2,828
Mike,57,1485.0,3,828
Dove,56,1592.0,4,828
Tim,55,1642.0,5,828
Matt,52,1511.0,6,828
Sam,48,1494.0,7,828
Karl,48,1493.0,8,828
John,46,1330.0,9,828
Nick,45,1359.0,10,828
Andy,64,1660.0,1,829
Tim,62,1607.0,2,829
Mikey,58,1435.0,3,829
Nick,55,1476.0,4,829
Matt,53,1609.0,5,829
Karl,52,1536.0,6,829
Sam,50,1543.0,7,829
John,49,1266.0,8,829
Mike,48,1430.0,9,829
Dove,39,1480.0,10,829
Andy,72,1709.0,1,830
Matt,59,1528.0,2,830
Tim,58,1574.0,3,830
John,55,1291.0,4,830
Nick,54,1499.0,5,830
Sam,54,1438.0,6,830
Mike,50,1404.0,7,830
Mikey,47,1428.0,8,830
Karl,44,1552.0,9,830
Dove,41,1465.0,10,830
Matt,68,1560.0,1,831
Andy,66,1670.0,2,831
Nick,64,1533.0,3,831
Mike,55,1477.0,4,831
Sam,54,1485.0,5,831
Tim,50,1569.0,6,831
Karl,50,1561.0,7,831
Dove,47,1521.0,8,831
Mikey,40,1388.0,9,831
John,40,1267.0,10,831
Andy,63,1637.0,1,832
Mike,61,1461.0,2,832
Tim,58,1559.0,3,832
Mikey,55,1473.0,4,832
Matt,53,1503.0,5,832
John,52,1265.0,6,832
Sam,51,1396.0,7,832
Karl,50,1500.0,8,832
Nick,48,1409.0,9,832
Dove,44,1513.0,10,832
Andy,75,1679.0,1,833
Matt,63,1584.0,2,833
Nick,63,1468.0,3,833
Sam,56,1407.0,4,833
Tim,55,1572.0,5,833
Mike,50,1446.0,6,833
John,47,1296.0,7,833
Mikey,44,1397.0,8,833
Dove,39,1551.0,9,833
Karl,39,1476.0,10,833
Nick,66,1501.0,1,834
Matt,65,1633.0,2,834
Mike,64,1466.0,3,834
Tim,62,1462.0,4,834
Sam,52,1479.0,5,834
Mikey,49,1492.0,6,834
Karl,47,1518.0,7,834
John,46,1226.0,8,834
Andy,45,1547.0,9,834
Dove,38,1439.0,10,834
Matt,66,1632.0,1,835
Sam,64,1455.0,2,835
Tim,62,1578.0,3,835
Mike,55,1447.0,4,835
John,53,1389.0,5,835
Andy,52,1579.0,6,835
Mikey,52,1521.0,7,835
Nick,51,1447.0,8,835
Dove,39,1459.0,9,835
Karl,38,1486.0,10,835
Mike,67,1552.0,1,836
Sam,63,1497.0,2,836
Tim,63,1495.0,3,836
Matt,59,1496.0,4,836
Andy,57,1556.0,5,836
Mikey,52,1452.0,6,836
Karl,47,1482.0,7,836
Dove,43,1480.0,8,836
Nick,42,1443.0,9,836
John,40,1309.0,10,836
Tim,68,1642.0,1,837
Sam,66,1552.0,2,837
Andy,62,1659.0,3,837
Mike,61,1504.0,4,837
Nick,58,1541.0,5,837
Matt,53,1552.0,6,837
Dove,47,1524.0,7,837
John,43,1306.0,8,837
Mikey,39,1516.0,9,837
Karl,35,1530.0,10,837
Sam,70,1540.0,1,838
Nick,63,1502.0,2,838
Matt,59,1640.0,3,838
Tim,59,1570.0,4,838
Dove,54,1497.0,5,838
Andy,49,1471.0,6,838
Mikey,49,1442.0,7,838
Karl,44,1480.0,8,838
Mike,44,1402.0,9,838
John,41,1327.0,10,838
Sam,66,1514.0,1,839
Tim,64,1563.0,2,839
Nick,63,1491.0,3,839
Andy,60,1638.0,4,839
Matt,60,1567.0,5,839
Mike,56,1479.0,6,839
Mikey,52,1484.0,7,839
Dove,39,1509.0,8,839
Karl,39,1481.0,9,839
John,34,1195.0,10,839
Matt,68,1578.0,1,840
Mike,67,1480.0,2,840
Mikey,58,1467.0,3,840
John,53,1309.0,4,840
Tim,51,1564.0,5,840
Dove,50,1540.0,6,840
Andy,49,1530.0,7,840
Nick,48,1450.0,8,840
Sam,48,1437.0,9,840
Karl,41,1435.0,10,840
Andy,63,1631.0,1,841
Mike,62,1407.0,2,841
Tim,61,1607.0,3,841
Mikey,60,1478.0,4,841
Karl,54,1534.0,5,841
Matt,50,1563.0,6,841
Nick,48,1441.0,7,841
Dove,47,1535.0,8,841
John,46,1248.0,9,841
Sam,42,1368.0,10,841
Andy,64,1630.0,1,842
Matt,59,1652.0,2,842
Tim,57,1574.0,3,842
Sam,57,1424.0,4,842
Mike,57,1392.0,5,842
Nick,53,1547.0,6,842
Karl,52,1545.0,7,842
John,46,1310.0,8,842
Mikey,43,1493.0,9,842
Dove,42,1453.0,10,842
Sam,69,1495.0,1,843
Matt,62,1544.0,2,843
Mike,59,1484.0,3,843
Andy,57,1590.0,4,843
John,55,1392.0,5,843
Nick,54,1474.0,6,843
Tim,52,1492.0,7,843
Mikey,46,1360.0,8,843
Dove,42,1462.0,9,843
Karl,38,1451.0,10,843
Mike,68,1506.0,1,844
Matt,65,1592.0,2,844
Tim,62,1609.0,3,844
Nick,57,1473.0,4,844
Sam,52,1479.0,5,844
Andy,47,1558.0,6,844
Dove,45,1494.0,7,844
Mikey,45,1448.0,8,844
John,45,1282.0,9,844
Karl,44,1513.0,10,844
Andy,69,1698.0,1,845
Matt,61,1593.0,2,845
Tim,61,1540.0,3,845
John,58,1428.0,4,845
Mike,55,1463.0,5,845
Nick,54,1484.0,6,845
Sam,52,1426.0,7,845
Mikey,50,1366.0,8,845
Karl,36,1445.0,9,845
Dove,36,1441.0,10,845
Matt,71,1638.0,1,846
Andy,63,1590.0,2,846
Nick,60,1450.0,3,846
Sam,58,1461.0,4,846
John,56,1292.0,5,846
Tim,55,1577.0,6,846
Mike,47,1521.0,7,846
Dove,44,1534.0,8,846
Karl,39,1499.0,9,846
Mikey,38,1436.0,10,846
Andy,62,1585.0,1,847
Nick,61,1560.0,2,847
Matt,57,1598.0,3,847
Tim,55,1553.0,4,847
Mike,55,1467.0,5,847
Dove,54,1574.0,6,847
John,52,1329.0,7,847
Mikey,50,1491.0,8,847
Sam,46,1339.0,9,847
Karl,39,1487.0,10,847
Andy,64,1700.0,1,848
Mike,61,1390.0,2,848
Matt,60,1562.0,3,848
John,59,1412.0,4,848
Nick,58,1494.0,5,848
Tim,55,1536.0,6,848
Sam,54,1436.0,7,848
Mikey,53,1505.0,8,848
Dove,44,1548.0,9,848
Karl,24,1385.0,10,848
