Player,Table Points,Player_Score,Rank,Simulation
Sam,51,1473.0,6,73
Karl,48,1479.0,7,73
John,47,1336.0,8,73
Nick,45,1447.0,9,73
Dove,38,1528.0,10,73
Dove,62,1579.0,1,74
Tim,61,1593.0,2,74
Matt,59,1538.0,3,74
Mike,58,1555.0,4,74
Andy,57,1618.0,5,74
Sam,55,1475.0,6,74
Nick,53,1428.0,7,74
Mikey,46,1408.0,8,74
John,43,1340.0,9,74
Karl,39,1425.0,10,74
Tim,71,1573.0,1,75
Andy,69,1592.0,2,75
Nick,60,1497.0,3,75
John,60,1359.0,4,75
Matt,48,1432.0,5,75
Sam,48,1420.0,6,75
Dove,47,1500.0,7,75
Mike,46,1354.0,8,75
Karl,44,1502.0,9,75
Mikey,40,1405.0,10,75
Nick,64,1513.0,1,76
Tim,62,1615.0,2,76
Andy,61,1677.0,3,76
John,59,1392.0,4,76
Matt,56,1533.0,5,76
Karl,53,1545.0,6,76
Mikey,52,1420.0,7,76
Mike,50,1446.0,8,76
Sam,39,1381.0,9,76
Dove,36,1403.0,10,76
Andy,67,1669.0,1,77
Nick,66,1421.0,2,77
John,61,1402.0,3,77
Matt,53,1531.0,4,77
Mikey,52,1499.0,5,77
Sam,51,1410.0,6,77
Tim,50,1464.0,7,77
Mike,47,1439.0,8,77
Dove,45,1561.0,9,77
Karl,41,1461.0,10,77
Tim,71,1606.0,1,78
Matt,62,1543.0,2,78
John,55,1332.0,3,78
Andy,54,1539.0,4,78
Karl,54,1505.0,5,78
Mike,53,1506.0,6,78
Mikey,49,1413.0,7,78
Nick,48,1461.0,8,78
Sam,46,1390.0,9,78
Dove,39,1481.0,10,78
Matt,68,1608.0,1,79
Mike,67,1479.0,2,79
Mikey,58,1551.0,3,79
Tim,55,1542.0,4,79
Andy,54,1605.0,5,79
Sam,54,1373.0,6,79
John,52,1312.0,7,79
Karl,48,1440.0,8,79
Nick,40,1451.0,9,79
Dove,38,1458.0,10,79
Matt,68,1609.0,1,80
Dove,68,1527.0,2,80
Nick,58,1519.0,3,80
Sam,57,1524.0,4,80
Mike,55,1482.0,5,80
Andy,51,1461.0,6,80
Mikey,49,1474.0,7,80
Tim,48,1529.0,8,80
John,44,1311.0,9,80
Karl,35,1599.0,10,80
Tim,61,1580.0,1,81
Mike,61,1460.0,2,81
Sam,60,1519.0,3,81
Matt,56,1608.0,4,81
Nick,54,1438.0,5,81
Karl,53,1464.0,6,81
Mikey,52,1397.0,7,81
